snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-07,languages,AU,5,"PHP","Web",4400,4.6,-18.2,-33.3
2026-07,languages,AU,6,"C++","Systems",3600,3.8,-19.4,-34.1
2026-07,languages,AU,7,"TypeScript","Web",2900,3,-17.2,-45.5
2026-07,languages,AU,8,"C#","General purpose",2400,2.5,-20.8,-34.5
2026-07,languages,AU,9,"Go","Systems",1900,2,0,-33.3
2026-07,languages,AU,10,"Rust","Systems",1900,2,-15.8,-15.8
2026-07,languages,AU,11,"Kotlin","JVM / mobile",1900,2,-15.8,-44.8
2026-07,languages,AU,12,"R","Data / stats",1000,1,0,-32.3
2026-07,languages,AU,13,"Ruby","Web",170,0.2,21.4,-46.9
2026-07,languages,AU,14,"Swift","Apple",70,0.1,-20,-55.6
2026-07,languages,DE,1,"Python","General purpose",90500,36,0,-17.7
2026-07,languages,DE,2,"Java","General purpose",49500,19.7,0,-33.1
2026-07,languages,DE,3,"JavaScript","Web",33100,13.2,0,-18.1
2026-07,languages,DE,4,"SQL","Data",18100,7.2,0,0
2026-07,languages,DE,5,"PHP","Web",12100,4.8,0,-33.1
2026-07,languages,DE,6,"TypeScript","Web",9900,3.9,0,-33.1
2026-07,languages,DE,7,"C++","Systems",9900,3.9,0,-33.1
2026-07,languages,DE,8,"C#","General purpose",9900,3.9,0,-18.2
2026-07,languages,DE,9,"Kotlin","JVM / mobile",8100,3.2,0,-18.5
2026-07,languages,DE,10,"Go","Systems",5400,2.1,0,-33.3
2026-07,languages,DE,11,"Rust","Systems",3600,1.4,-19.4,-34.1
2026-07,languages,DE,12,"R","Data / stats",1000,0.4,0,-23.1
2026-07,languages,DE,13,"Ruby","Web",140,0.1,27.3,-46.2
2026-07,languages,DE,14,"Swift","Apple",70,0,66.7,-44.4
2026-07,languages,FR,1,"Python","General purpose",110000,44.2,21.5,21.5
2026-07,languages,FR,2,"Java","General purpose",49500,19.9,0,-33.1
2026-07,languages,FR,3,"JavaScript","Web",27100,10.9,22.1,-18.1
2026-07,languages,FR,4,"PHP","Web",14800,5.9,-18.2,-18.2
2026-07,languages,FR,5,"SQL","Data",14800,5.9,0,0
2026-07,languages,FR,6,"TypeScript","Web",8100,3.3,0,-33.3
2026-07,languages,FR,7,"C++","Systems",8100,3.3,-18.5,-18.5
2026-07,languages,FR,8,"C#","General purpose",4400,1.8,24.1,-18.2
2026-07,languages,FR,9,"Kotlin","JVM / mobile",4400,1.8,22.2,-18.5
2026-07,languages,FR,10,"Go","Systems",3600,1.4,0,-34.1
2026-07,languages,FR,11,"Rust","Systems",2900,1.2,0,-17.2
2026-07,languages,FR,12,"R","Data / stats",1000,0.4,0,-12
2026-07,languages,FR,13,"Ruby","Web",210,0.1,52.9,23.8
2026-07,languages,FR,14,"Swift","Apple",50,0,50,0
2026-07,languages,BR,1,"Python","General purpose",201000,35.6,-17.9,-17.9
