snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-07,crypto,CA,14,"Ledger","Wallet",1300,0.6,0,-47.4
2026-07,crypto,CA,15,"Blockchain.com","Wallet",590,0.3,-17.9,-55.6
2026-07,crypto,CA,16,"Gemini","Exchange",210,0.1,-21.4,-47.6
2026-07,crypto,AU,1,"Coinbase","Exchange",33100,23.4,-18.5,-63.4
2026-07,crypto,AU,2,"Binance","Exchange",33100,23.4,22.7,-45.2
2026-07,crypto,AU,3,"Kraken","Exchange",27100,19.2,-18.1,0
2026-07,crypto,AU,4,"Bybit","Exchange",12100,8.6,0,-55.2
2026-07,crypto,AU,5,"MEXC","Exchange",6600,4.7,0,-55.6
2026-07,crypto,AU,6,"MetaMask","Wallet",6600,4.7,-18.5,-55.6
2026-07,crypto,AU,7,"OKX","Exchange",5400,3.8,-18.2,-45.5
2026-07,crypto,AU,8,"Trust Wallet","Wallet",3600,2.5,0,-46.3
2026-07,crypto,AU,9,"Phantom","Wallet",2900,2.1,-15.8,-63.6
2026-07,crypto,AU,10,"KuCoin","Exchange",2900,2.1,20.8,-46.3
2026-07,crypto,AU,11,"Bitget","Exchange",2900,2.1,20.8,-34.1
2026-07,crypto,AU,12,"Crypto.com","Exchange",1900,1.3,0,-33.3
2026-07,crypto,AU,13,"Exodus","Wallet",1300,0.9,0,-47.4
2026-07,crypto,AU,14,"Ledger","Wallet",1300,0.9,0,-37.5
2026-07,crypto,AU,15,"Blockchain.com","Wallet",210,0.1,-17.6,-56.2
2026-07,crypto,AU,16,"Gemini","Exchange",170,0.1,0,-70.6
2026-07,crypto,DE,1,"Coinbase","Exchange",74000,23.1,0,-55
2026-07,crypto,DE,2,"Binance","Exchange",74000,23.1,49.5,-18.2
2026-07,crypto,DE,3,"Kraken","Exchange",49500,15.4,0,22.2
2026-07,crypto,DE,4,"Bitget","Exchange",27100,8.4,0,-63.5
2026-07,crypto,DE,5,"Bybit","Exchange",22200,6.9,22.3,-33.2
2026-07,crypto,DE,6,"MEXC","Exchange",14800,4.6,0,-45.3
2026-07,crypto,DE,7,"MetaMask","Wallet",14800,4.6,0,-55.4
2026-07,crypto,DE,8,"Trust Wallet","Wallet",12100,3.8,0,-18.2
2026-07,crypto,DE,9,"OKX","Exchange",8100,2.5,49.4,22.2
2026-07,crypto,DE,10,"KuCoin","Exchange",8100,2.5,22.7,-75.7
2026-07,crypto,DE,11,"Phantom","Wallet",5400,1.7,0,-45.5
2026-07,crypto,DE,12,"Crypto.com","Exchange",5400,1.7,317.2,83.3
2026-07,crypto,DE,13,"Exodus","Wallet",2400,0.7,0,-47.2
2026-07,crypto,DE,14,"Ledger","Wallet",1900,0.6,0,-20.8
2026-07,crypto,DE,15,"Blockchain.com","Wallet",880,0.3,0,-28
2026-07,crypto,DE,16,"Gemini","Exchange",140,0,-20,-55.6
2026-07,crypto,FR,1,"Binance","Exchange",110000,36.2,82.4,0
2026-07,crypto,FR,2,"Coinbase","Exchange",60500,19.9,0,-33.1
2026-07,crypto,FR,3,"Kraken","Exchange",60500,19.9,48.6,81.8
2026-07,crypto,FR,4,"MetaMask","Wallet",14800,4.9,0,-63.5
2026-07,crypto,FR,5,"Bitget","Exchange",12100,4,-18.5,-75.7
2026-07,crypto,FR,6,"MEXC","Exchange",9900,3.3,-33.3,-55.4
2026-07,crypto,FR,7,"Bybit","Exchange",8100,2.7,50,-18.2
2026-07,crypto,FR,8,"Trust Wallet","Wallet",6600,2.2,50,0
2026-07,crypto,FR,9,"OKX","Exchange",6600,2.2,123.5,174.2
2026-07,crypto,FR,10,"KuCoin","Exchange",5400,1.8,0,-70.2
2026-07,crypto,FR,11,"Crypto.com","Exchange",4400,1.4,-19.4,-46.3
2026-07,crypto,FR,12,"Phantom","Wallet",2400,0.8,0,-55.6
2026-07,crypto,FR,13,"Ledger","Wallet",1000,0.3,81.8,171.2
2026-07,crypto,FR,14,"Exodus","Wallet",880,0.3,0,-28
2026-07,crypto,FR,15,"Blockchain.com","Wallet",720,0.2,0,-18.1
2026-07,crypto,FR,16,"Gemini","Exchange",90,0,-57.1,-78.6
2026-07,crypto,BR,1,"Binance","Exchange",201000,48.6,-18.2,-55.1
2026-07,crypto,BR,2,"Coinbase","Exchange",49500,12,-18.3,-45.3
2026-07,crypto,BR,3,"Kraken","Exchange",40500,9.8,0,0
2026-07,crypto,BR,4,"Bybit","Exchange",33100,8,-32.9,-55.2
2026-07,crypto,BR,5,"MetaMask","Wallet",27100,6.6,-33.1,-55.4
2026-07,crypto,BR,6,"OKX","Exchange",22200,5.4,-18.5,0
2026-07,crypto,BR,7,"MEXC","Exchange",12100,2.9,-18.5,-55.4
2026-07,crypto,BR,8,"Bitget","Exchange",9900,2.4,-18.5,-55.4
2026-07,crypto,BR,9,"Trust Wallet","Wallet",6600,1.6,0,-45.7
2026-07,crypto,BR,10,"KuCoin","Exchange",5400,1.3,0,-45.5
