snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-06,nocode,WW,1,"n8n","Automation",1392000,32.2,-6.1,-25.8
2026-06,nocode,WW,2,"Zapier","Automation",520100,12,-12.7,-21.1
2026-06,nocode,WW,3,"Airtable","Database",435300,10.1,-0.9,-1.9
2026-06,nocode,WW,4,"Framer","No-code web",406900,9.4,0.2,24.6
2026-06,nocode,WW,5,"Webflow","No-code web",311500,7.2,-6.1,-23.6
2026-06,nocode,WW,6,"Typeform","Forms",266600,6.2,-11.7,-18
2026-06,nocode,WW,7,"Carrd","No-code web",249700,5.8,-4.9,-11.8
2026-06,nocode,WW,8,"AppSheet","Internal tools",236500,5.5,-11.8,23.8
2026-06,nocode,WW,9,"Power Apps","Internal tools",164880,3.8,-5.1,-10.2
2026-06,nocode,WW,10,"FlutterFlow","App builder",118160,2.7,-1.7,16.1
2026-06,nocode,WW,11,"Retool","Internal tools",72080,1.7,-11.6,-8
2026-06,nocode,WW,12,"Adalo","App builder",42750,1,-29.4,-34.5
2026-06,nocode,WW,13,"Glide","App builder",31540,0.7,-25.5,25.8
2026-06,nocode,WW,14,"Make","Automation",29840,0.7,-0.2,0.8
2026-06,nocode,WW,15,"OutSystems","Enterprise",27690,0.6,-6.7,-22.2
2026-06,nocode,WW,16,"Bubble","App builder",24100,0.6,-13.1,-41.3
2026-06,nocode,US,1,"n8n","Automation",201000,20.6,-18.2,-45.1
2026-06,nocode,US,2,"Airtable","Database",165000,16.9,0,0
2026-06,nocode,US,3,"Zapier","Automation",165000,16.9,-18.2,-18.2
2026-06,nocode,US,4,"Webflow","No-code web",90500,9.3,0,-18.2
2026-06,nocode,US,5,"Carrd","No-code web",90500,9.3,0,-17.7
2026-06,nocode,US,6,"Typeform","Forms",74000,7.6,-18.2,-18.2
2026-06,nocode,US,7,"Framer","No-code web",74000,7.6,-18.2,0
2026-06,nocode,US,8,"Power Apps","Internal tools",27100,2.8,-18.1,-18.1
2026-06,nocode,US,9,"Retool","Internal tools",22200,2.3,0,-18.1
2026-06,nocode,US,10,"AppSheet","Internal tools",22200,2.3,-33.2,22.3
2026-06,nocode,US,11,"FlutterFlow","App builder",14800,1.5,0,0
2026-06,nocode,US,12,"Adalo","App builder",8100,0.8,-33.3,-55.6
2026-06,nocode,US,13,"Glide","App builder",6600,0.7,-18.2,-18.2
2026-06,nocode,US,14,"Bubble","App builder",4400,0.5,-19.4,-34.1
2026-06,nocode,US,15,"Make","Automation",4400,0.5,-18.5,-18.5
2026-06,nocode,US,16,"OutSystems","Enterprise",4400,0.5,0,0
2026-06,nocode,IN,1,"n8n","Automation",301000,42.7,0,0
2026-06,nocode,IN,2,"Framer","No-code web",110000,15.6,0,21.5
2026-06,nocode,IN,3,"Zapier","Automation",74000,10.5,0,0
